horizon,ablation,n,auc,static_f1,static_acc,tuned_thr,tuned_f1,tuned_acc,tte_sec
ETC0_5,Full,684,0.8826,0.7366,0.8567,0.863,0.7596,0.8816,0.5
ETC0_5,NoGlobal,684,0.8624,0.6512,0.7807,0.883,0.7123,0.8523,0.5
ETC0_5,NoLocal,684,0.8034,0.5034,0.7865,0.159,0.6128,0.7266,0.5
ETC0_5,NoKin,684,0.8156,0.2441,0.7646,0.589,0.6232,0.8056,0.5
ETC0_5,KinOnly,684,0.8776,0.7475,0.8509,0.782,0.7525,0.8567,0.5
ETC0_5,VisualOnly,684,0.8156,0.2441,0.7646,0.589,0.6232,0.8056,0.5
ETC1,Full,664,0.8984,0.736,0.8584,0.897,0.7582,0.8886,1.0
ETC1,NoGlobal,664,0.8806,0.6875,0.8042,0.872,0.7198,0.8464,1.0
ETC1,NoLocal,664,0.8222,0.5474,0.8057,0.181,0.6105,0.7425,1.0
ETC1,NoKin,664,0.8617,0.3019,0.7771,0.556,0.7052,0.8464,1.0
ETC1,KinOnly,664,0.87,0.7154,0.8298,0.789,0.7287,0.8419,1.0
ETC1,VisualOnly,664,0.8617,0.3019,0.7771,0.556,0.7052,0.8464,1.0
ETC2,Full,603,0.9082,0.7576,0.8673,0.796,0.7702,0.8773,2.0
ETC2,NoGlobal,603,0.8595,0.6802,0.791,0.753,0.6818,0.791,2.0
ETC2,NoLocal,603,0.8751,0.6275,0.8425,0.378,0.6983,0.8524,2.0
ETC2,NoKin,603,0.8748,0.3216,0.7761,0.555,0.6968,0.8441,2.0
ETC2,KinOnly,603,0.8422,0.6835,0.7927,0.792,0.6997,0.8093,2.0
ETC2,VisualOnly,603,0.8748,0.3216,0.7761,0.555,0.6968,0.8441,2.0
ETC3,Full,539,0.898,0.7329,0.8553,0.623,0.7429,0.8497,3.0
ETC3,NoGlobal,539,0.8336,0.6556,0.7699,0.647,0.6649,0.7625,3.0
ETC3,NoLocal,539,0.854,0.6261,0.8404,0.303,0.6761,0.8293,3.0
ETC3,NoKin,539,0.8788,0.3596,0.7885,0.584,0.6996,0.8534,3.0
ETC3,KinOnly,539,0.8065,0.6356,0.7532,0.772,0.648,0.7662,3.0
ETC3,VisualOnly,539,0.8788,0.3596,0.7885,0.584,0.6996,0.8534,3.0
ETC4,Full,487,0.8713,0.6791,0.8234,0.684,0.7071,0.8316,4.0
ETC4,NoGlobal,487,0.7998,0.6,0.7372,0.563,0.6243,0.7331,4.0
ETC4,NoLocal,487,0.8434,0.6538,0.8522,0.727,0.6698,0.8542,4.0
ETC4,NoKin,487,0.8575,0.2968,0.7762,0.439,0.6859,0.8214,4.0
ETC4,KinOnly,487,0.7718,0.5988,0.7166,0.792,0.6061,0.7331,4.0
ETC4,VisualOnly,487,0.8575,0.2968,0.7762,0.439,0.6859,0.8214,4.0
