horizon,branch,n,auc,static_acc,static_f1,static_precision,static_recall,tuned_thr,tuned_f1,tuned_precision,tuned_recall,tte_sec
ETC0_5,Fused,684,0.8826,0.8567,0.7366,0.7135,0.7611,0.863,0.7596,0.8153,0.7111,0.5
ETC0_5,Kin,684,0.8796,0.845,0.6513,0.7984,0.55,0.608,0.7448,0.701,0.7944,0.5
ETC0_5,Local,684,0.7672,0.7617,0.5356,0.5497,0.5222,0.684,0.5514,0.5023,0.6111,0.5
ETC0_5,Global,684,0.7411,0.7471,0.4927,0.5217,0.4667,0.378,0.5326,0.4006,0.7944,0.5
ETC1,Fused,664,0.8984,0.8584,0.736,0.7198,0.7529,0.897,0.7582,0.8788,0.6667,1.0
ETC1,Kin,664,0.8767,0.8343,0.6333,0.754,0.546,0.591,0.7306,0.6651,0.8103,1.0
ETC1,Local,664,0.8232,0.7967,0.6087,0.614,0.6034,0.593,0.6279,0.5273,0.7759,1.0
ETC1,Global,664,0.765,0.7726,0.5325,0.5772,0.4943,0.641,0.5538,0.5202,0.592,1.0
ETC2,Fused,603,0.9082,0.8673,0.7576,0.731,0.7862,0.796,0.7702,0.7607,0.7799,2.0
ETC2,Kin,603,0.8553,0.8076,0.5672,0.6972,0.478,0.536,0.6967,0.5792,0.8742,2.0
ETC2,Local,603,0.8028,0.7678,0.5513,0.5621,0.5409,0.458,0.6071,0.485,0.8113,2.0
ETC2,Global,603,0.8188,0.8209,0.6115,0.7143,0.5346,0.705,0.6507,0.7143,0.5975,2.0
ETC3,Fused,539,0.898,0.8553,0.7329,0.6993,0.7698,0.623,0.7429,0.6648,0.8417,3.0
ETC3,Kin,539,0.8317,0.8033,0.562,0.6602,0.4892,0.596,0.6513,0.5433,0.8129,3.0
ETC3,Local,539,0.8209,0.7718,0.5393,0.5625,0.518,0.529,0.6431,0.545,0.7842,3.0
ETC3,Global,539,0.8004,0.8145,0.6032,0.6726,0.5468,0.679,0.6187,0.6187,0.6187,3.0
ETC4,Fused,487,0.8713,0.8234,0.6791,0.6319,0.7339,0.684,0.7071,0.6346,0.7984,4.0
ETC4,Kin,487,0.7975,0.768,0.4744,0.5604,0.4113,0.576,0.6145,0.4904,0.8226,4.0
ETC4,Local,487,0.7943,0.77,0.5214,0.5545,0.4919,0.374,0.5869,0.4537,0.8306,4.0
ETC4,Global,487,0.7908,0.8419,0.6516,0.7423,0.5806,0.823,0.6574,0.7717,0.5726,4.0
