horizon,tte_sec,removed_branch,delta_auc
ETC0_5,0.5,Remove Global,0.020199999999999996
ETC1,1.0,Remove Global,0.017799999999999927
ETC2,2.0,Remove Global,0.048699999999999966
ETC3,3.0,Remove Global,0.06440000000000001
ETC4,4.0,Remove Global,0.07150000000000001
ETC0_5,0.5,Remove Local,0.07920000000000005
ETC1,1.0,Remove Local,0.07619999999999993
ETC2,2.0,Remove Local,0.03310000000000002
ETC3,3.0,Remove Local,0.04400000000000004
ETC4,4.0,Remove Local,0.027899999999999925
ETC0_5,0.5,Remove Kin,0.06700000000000006
ETC1,1.0,Remove Kin,0.036699999999999955
ETC2,2.0,Remove Kin,0.033399999999999985
ETC3,3.0,Remove Kin,0.019199999999999995
ETC4,4.0,Remove Kin,0.013799999999999923
