horizon,tte_sec,removed_branch,delta_static_f1
ETC0_5,0.5,Remove Global,0.08540000000000003
ETC1,1.0,Remove Global,0.04849999999999999
ETC2,2.0,Remove Global,0.07740000000000002
ETC3,3.0,Remove Global,0.07730000000000004
ETC4,4.0,Remove Global,0.07910000000000006
ETC0_5,0.5,Remove Local,0.23320000000000007
ETC1,1.0,Remove Local,0.1886
ETC2,2.0,Remove Local,0.1301000000000001
ETC3,3.0,Remove Local,0.1068
ETC4,4.0,Remove Local,0.02529999999999999
ETC0_5,0.5,Remove Kin,0.49250000000000005
ETC1,1.0,Remove Kin,0.4341
ETC2,2.0,Remove Kin,0.43600000000000005
ETC3,3.0,Remove Kin,0.3733
ETC4,4.0,Remove Kin,0.38230000000000003
