trial_number,state,objective_fusion_val_auc,best_epoch,best_val_auc,test_auc_main,test_auc_kin,test_auc_local,test_auc_global,fusion_val_auc,fusion_test_auc,fusion_test_f1,fusion_weights,lr,last_fc_l2,visual_l2,aux_weight,entropy_weight,dropout_p,local_dropout_p,global_dropout_p,timestamp
0,RUNNING,0.892432,7,0.885687,0.879124,0.865308,0.762802,0.812044,0.892432,0.888096,0.681159,"{""main"": 0.75, ""kin"": 0.25, ""local"": 0.0, ""global"": 0.0}",1.99e-05,7.11e-03,4.00e-03,0.2500,0.0300,0.20,0.10,0.40,2026-04-30 20:46:31
1,RUNNING,0.868099,2,0.859990,0.878540,0.856591,0.769974,0.808481,0.868099,0.884208,0.668113,"{""main"": 0.65, ""kin"": 0.0, ""local"": 0.1, ""global"": 0.25}",4.59e-05,1.33e-03,0.00e+00,0.4000,0.1700,0.30,0.10,0.10,2026-04-30 21:05:25
2,RUNNING,0.866455,6,0.856127,0.883461,0.858409,0.746187,0.811842,0.866455,0.889393,0.746835,"{""main"": 0.25, ""kin"": 0.2, ""local"": 0.25, ""global"": 0.3}",1.54e-05,3.75e-04,2.00e-03,0.1500,0.1200,0.20,0.20,0.20,2026-04-30 21:35:46
3,RUNNING,0.854312,7,0.848953,0.899540,0.875296,0.788873,0.827799,0.854312,0.900959,0.728571,"{""main"": 0.1, ""kin"": 0.45, ""local"": 0.25, ""global"": 0.2}",2.69e-05,2.27e-03,1.00e-03,0.2500,0.1200,0.20,0.40,0.10,2026-04-30 22:08:54
4,RUNNING,0.874322,7,0.873956,0.900561,0.867855,0.811477,0.816648,0.874322,0.903820,0.722397,"{""main"": 0.95, ""kin"": 0.0, ""local"": 0.0, ""global"": 0.05}",6.36e-06,7.03e-03,5.00e-03,0.3500,0.0600,0.20,0.40,0.20,2026-04-30 22:42:08
17,RUNNING,0.879518,4,0.868847,0.868694,0.872132,0.795047,0.762405,0.879518,0.887957,0.707641,"{""main"": 0.45, ""kin"": 0.4, ""local"": 0.15, ""global"": 0.0}",7.38e-05,9.81e-03,2.50e-03,0.2500,0.0700,0.30,0.30,0.30,2026-05-01 01:26:52
18,RUNNING,0.874852,4,0.858121,0.884755,0.865479,0.767844,0.781963,0.874852,0.895944,0.698069,"{""main"": 0.05, ""kin"": 0.45, ""local"": 0.35, ""global"": 0.15}",1.03e-04,5.81e-03,3.00e-03,0.2500,0.0300,0.40,0.40,0.30,2026-05-01 01:51:30
19,RUNNING,0.872157,3,0.868426,0.881672,0.870188,0.720092,0.772113,0.872157,0.893219,0.716007,"{""main"": 0.7, ""kin"": 0.0, ""local"": 0.0, ""global"": 0.3}",8.22e-05,9.68e-03,2.00e-03,0.2500,0.0400,0.30,0.20,0.40,2026-05-01 02:13:17
21,RUNNING,0.866525,3,0.859897,0.882923,0.858119,0.739237,0.788849,0.866525,0.884440,0.726625,"{""main"": 0.55, ""kin"": 0.15, ""local"": 0.0, ""global"": 0.3}",5.39e-05,4.87e-03,4.00e-03,0.3000,0.0200,0.30,0.50,0.30,2026-05-01 02:46:35
25,RUNNING,0.862865,3,0.862195,0.881663,0.867705,0.775639,0.746343,0.862865,0.883881,0.691017,"{""main"": 0.85, ""kin"": 0.1, ""local"": 0.0, ""global"": 0.05}",1.07e-04,7.21e-03,3.50e-03,0.2000,0.1100,0.30,0.20,0.20,2026-05-01 03:42:55
28,RUNNING,0.862125,2,0.855667,0.874690,0.856444,0.774511,0.779879,0.862125,0.869584,0.648227,"{""main"": 0.65, ""kin"": 0.0, ""local"": 0.25, ""global"": 0.1}",9.14e-05,3.19e-03,2.50e-03,0.4000,0.0500,0.20,0.30,0.30,2026-05-01 04:24:44
29,RUNNING,0.856820,4,0.849459,0.877072,0.859558,0.781459,0.753907,0.856820,0.875557,0.672360,"{""main"": 0.05, ""kin"": 0.35, ""local"": 0.35, ""global"": 0.25}",4.06e-05,5.02e-03,3.50e-03,0.2500,0.0600,0.60,0.30,0.30,2026-05-01 04:49:25
