trial_number,state,objective_fusion_val_auc,best_epoch,best_val_auc,test_auc_main,test_auc_kin,test_auc_local,test_auc_global,fusion_val_auc,fusion_test_auc,fusion_test_f1,fusion_weights,lr,last_fc_l2,visual_l2,aux_weight,entropy_weight,dropout_p,local_dropout_p,global_dropout_p,timestamp
0,RUNNING,0.883451,12,nan,0.888596,0.870642,0.761195,0.783046,0.883451,0.901577,0.716194,"{""main"": 0.5, ""kin"": 0.45, ""local"": 0.0, ""global"": 0.05}",1.99e-05,7.11e-03,4.00e-03,0.2500,0.0300,0.20,0.10,0.40,2026-05-01 14:01:06
1,RUNNING,0.871526,19,nan,0.880211,0.863964,0.767648,0.788448,0.871526,0.885359,0.684641,"{""main"": 0.1, ""kin"": 0.45, ""local"": 0.15, ""global"": 0.3}",8.62e-06,1.06e-02,4.00e-03,0.2500,0.0100,0.40,0.40,0.30,2026-05-01 15:15:39
2,RUNNING,0.874938,9,nan,0.877357,0.873101,0.760828,0.781875,0.874938,0.883772,0.699262,"{""main"": 0.8, ""kin"": 0.15, ""local"": 0.0, ""global"": 0.05}",2.74e-05,2.93e-03,2.00e-03,0.2500,0.0100,0.40,0.10,0.40,2026-05-01 16:13:00
3,RUNNING,0.877173,6,nan,0.881340,0.864268,0.770902,0.814605,0.877173,0.899688,0.709957,"{""main"": 0.6, ""kin"": 0.05, ""local"": 0.0, ""global"": 0.35}",2.84e-05,7.45e-03,2.00e-03,0.1000,0.0600,0.40,0.20,0.50,2026-05-01 17:01:48
4,RUNNING,0.890991,9,nan,0.885428,0.871714,0.793818,0.799031,0.890991,0.894914,0.719740,"{""main"": 0.7, ""kin"": 0.25, ""local"": 0.0, ""global"": 0.05}",2.10e-05,1.03e-02,5.00e-03,0.2500,0.0800,0.30,0.40,0.50,2026-05-01 17:59:12
10,RUNNING,0.875794,9,nan,0.889499,0.861854,0.789088,0.818702,0.875794,0.896067,0.679796,"{""main"": 0.75, ""kin"": 0.25, ""local"": 0.0, ""global"": 0.0}",2.36e-05,1.10e-02,3.00e-03,0.2000,0.0800,0.30,0.40,0.50,2026-05-01 21:28:49
12,RUNNING,0.894940,8,nan,0.879463,0.868198,0.742221,0.803059,0.894940,0.884444,0.681048,"{""main"": 0.85, ""kin"": 0.15, ""local"": 0.0, ""global"": 0.0}",2.08e-05,3.24e-03,4.00e-03,0.2000,0.0800,0.20,0.40,0.50,2026-05-01 22:53:11
14,RUNNING,0.877672,5,nan,0.886772,0.872430,0.787316,0.765161,0.877672,0.891002,0.711737,"{""main"": 0.3, ""kin"": 0.35, ""local"": 0.2, ""global"": 0.15}",2.44e-05,4.28e-03,3.00e-03,0.2500,0.0800,0.40,0.40,0.30,2026-05-02 00:09:02
16,RUNNING,0.881099,11,nan,0.883014,0.869615,0.759244,0.789539,0.881099,0.886230,0.685801,"{""main"": 0.85, ""kin"": 0.15, ""local"": 0.0, ""global"": 0.0}",2.37e-05,6.59e-03,4.50e-03,0.1500,0.0500,0.30,0.40,0.50,2026-05-02 01:42:04
23,RUNNING,0.883272,7,nan,0.877262,0.866403,0.754942,0.783562,0.883272,0.894508,0.689911,"{""main"": 0.45, ""kin"": 0.5, ""local"": 0.05, ""global"": 0.0}",2.46e-05,4.57e-03,3.00e-03,0.2000,0.0200,0.20,0.30,0.40,2026-05-02 05:39:07
